"iter","algo","resu","Val"
"1","BM","sol",3107.62745098039
"1","BM","time",0.126000121235847
"1","BM","cpu",0.086
"1","BM","nodes",45
"1","BM","LB",3107.62745098039
"1","HR","sol",3107.62745098039
"1","HR","time",0.137000111863017
"1","HR","cpu",0.088
"1","HR","nodes",3
"1","HR","LB",3107.62745097039
"1","DB_BM","sol",3107.62745098039
"1","DB_BM","time",66.6490029310808
"1","DB_BM","cpu",3.53799999999999
"1","DB_BM","nodes",438
"1","DB_BM","LB",3032.62745098039
"1","DB_BM","first",19
"1","DB_BM","best",437
"1","DB_HR","sol",3107.62745098039
"1","DB_HR","time",63.8680100440979
"1","DB_HR","cpu",4.20699999999997
"1","DB_HR","nodes",399
"1","DB_HR","LB",3107.62745098039
"1","DB_HR","first",133
"1","DB_HR","best",399
"2","BM","sol",-15258
"2","BM","time",0.484999758191407
"2","BM","cpu",0.033
"2","BM","LB",-15258
"2","HR","sol",-15257.999999999
"2","HR","time",0.0860002124682069
"2","HR","cpu",0.034
"2","HR","LB",-15258.0000000166
"2","DB_BM","sol",10000000000
"2","DB_BM","time",7200.10700337589
"2","DB_BM","cpu",167.555999999995
"2","DB_BM","nodes",21337
"2","DB_BM","LB",-15430.7770419426
"2","DB_HR","sol",-15258
"2","DB_HR","time",1.33400252088904
"2","DB_HR","cpu",0.078
"2","DB_HR","nodes",9
"2","DB_HR","LB",-15258
"2","DB_HR","first",9
"2","DB_HR","best",9
"3","BM","sol",10822.2
"3","BM","time",0.0720003386959434
"3","BM","cpu",0.022
"3","BM","LB",10815.1598930424
"3","HR","sol",10822.2
"3","HR","time",0.085000041872263
"3","HR","cpu",0.029
"3","HR","LB",10822.199999851
"3","DB_BM","sol",10822.2
"3","DB_BM","time",3975.38695859257
"3","DB_BM","cpu",80.4830000000089
"3","DB_BM","nodes",12900
"3","DB_BM","LB",10653.2615384615
"3","DB_BM","first",11111
"3","DB_BM","best",12323
"3","DB_HR","sol",10822.2
"3","DB_HR","time",3091.11799208913
"3","DB_HR","cpu",95.2569999999962
"3","DB_HR","nodes",11770
"3","DB_HR","LB",10688.0516483516
"3","DB_HR","first",11111
"3","DB_HR","best",11603
"4","BM","sol",-24388.2985958264
"4","BM","time",0.129999546334147
"4","BM","cpu",0.091
"4","BM","nodes",63
"4","BM","LB",-24410.8136622932
"4","HR","sol",-24388.2984126984
"4","HR","time",0.177000020630658
"4","HR","cpu",0.033
"4","HR","LB",-24391.7288573336
"4","DB_BM","sol",-24388.2984126984
"4","DB_BM","time",619.962007692084
"4","DB_BM","cpu",30.4669999999992
"4","DB_BM","nodes",4880
"4","DB_BM","LB",-24407.5284299696
"4","DB_BM","first",4681
"4","DB_BM","best",4880
"4","DB_HR","sol",-24388.2984126984
"4","DB_HR","time",285.413992032409
"4","DB_HR","cpu",14.6439999999999
"4","DB_HR","nodes",1678
"4","DB_HR","LB",-24569.2552874098
"4","DB_HR","first",620
"4","DB_HR","best",1678
"5","BM","sol",-26430.5789473684
"5","BM","time",0.310000078752637
"5","BM","cpu",0.061
"5","BM","nodes",19
"5","BM","LB",-26430.5789473734
"5","HR","sol",-26430.5789473684
"5","HR","time",0.304000312462449
"5","HR","cpu",0.08
"5","HR","LB",-26430.5789473684
"5","DB_BM","sol",-25044.4137931034
"5","DB_BM","time",3491.48600692861
"5","DB_BM","cpu",112.513999999992
"5","DB_BM","nodes",16445
"5","DB_BM","LB",-25502.1491197243
