"iter","algo","resu","Val"
"1","BM","sol",7
"1","BM","time",0.0500003574416041
"1","BM","cpu",0.027
"1","BM","LB",7
"1","HR","sol",7
"1","HR","time",0.226000207476318
"1","HR","cpu",0.11
"1","HR","LB",7
"1","DB_BM","sol",7
"1","DB_BM","time",53.586998116225
"1","DB_BM","cpu",0.944000000000001
"1","DB_BM","nodes",130
"1","DB_BM","LB",7
"1","DB_BM","first",65
"1","DB_BM","best",130
"1","DB_HR","sol",7
"1","DB_HR","time",14.1139994608238
"1","DB_HR","cpu",0.578
"1","DB_HR","nodes",48
"1","DB_HR","LB",7
"1","DB_HR","first",22
"1","DB_HR","best",48
"2","BM","sol",8
"2","BM","time",0.185000128112733
"2","BM","cpu",0.026
"2","BM","LB",8
"2","HR","sol",8
"2","HR","time",0.821000500582159
"2","HR","cpu",0.114
"2","HR","LB",8
"2","DB_BM","sol",8
"2","DB_BM","time",72.3129941616207
"2","DB_BM","cpu",1.232
"2","DB_BM","nodes",191
"2","DB_BM","LB",8
"2","DB_BM","first",65
"2","DB_BM","best",191
"2","DB_HR","sol",8
"2","DB_HR","time",14.4820006331429
"2","DB_HR","cpu",0.61
"2","DB_HR","nodes",33
"2","DB_HR","LB",8
"2","DB_HR","first",9
"2","DB_HR","best",33
"3","BM","sol",8
"3","BM","time",0.774000026285648
"3","BM","cpu",0.048
"3","BM","LB",8
"3","HR","sol",8
"3","HR","time",0.192999606952071
"3","HR","cpu",0.148
"3","HR","LB",8
"3","DB_BM","sol",8
"3","DB_BM","time",53.6910001421347
"3","DB_BM","cpu",0.826000000000001
"3","DB_BM","nodes",115
"3","DB_BM","LB",8
"3","DB_BM","first",65
"3","DB_BM","best",115
"3","DB_HR","sol",8
"3","DB_HR","time",19.2830018000677
"3","DB_HR","cpu",0.721
"3","DB_HR","nodes",43
"3","DB_HR","LB",8
"3","DB_HR","first",8
"3","DB_HR","best",43
"4","BM","sol",9
"4","BM","time",0.34599993377924
"4","BM","cpu",0.047
"4","BM","LB",9
"4","HR","sol",9
"4","HR","time",0.683000218123198
"4","HR","cpu",0.112
"4","HR","LB",9
"4","DB_BM","sol",9
"4","DB_BM","time",63.2859993958846
"4","DB_BM","cpu",1.274
"4","DB_BM","nodes",165
"4","DB_BM","LB",9
"4","DB_BM","first",65
"4","DB_BM","best",165
"4","DB_HR","sol",9
"4","DB_HR","time",15.3219987172633
"4","DB_HR","cpu",0.723
"4","DB_HR","nodes",48
"4","DB_HR","LB",9
"4","DB_HR","first",10
"4","DB_HR","best",48
"5","BM","sol",10
"5","BM","time",0.7939996663481
"5","BM","cpu",0.059
"5","BM","LB",10
"5","HR","sol",10
"5","HR","time",0.369000085629523
"5","HR","cpu",0.11
"5","HR","LB",10
"5","DB_BM","sol",10
"5","DB_BM","time",85.9970038756728
"5","DB_BM","cpu",1.473
"5","DB_BM","nodes",224
"5","DB_BM","LB",10
"5","DB_BM","first",65
"5","DB_BM","best",224
"5","DB_HR","sol",10
"5","DB_HR","time",60.607000021264
"5","DB_HR","cpu",1.874
"5","DB_HR","nodes",148
"5","DB_HR","LB",10
"5","DB_HR","first",21
"5","DB_HR","best",148
"6","BM","sol",6
"6","BM","time",0.594000122509897
"6","BM","cpu",0.074
"6","BM","nodes",8
"6","BM","LB",6
"6","HR","sol",6
"6","HR","time",0.309999450109899
"6","HR","cpu",0.209
"6","HR","nodes",7
"6","HR","LB",6
"6","DB_BM","sol",6
"6","DB_BM","time",124.256999278441
"6","DB_BM","cpu",2.42599999999999
"6","DB_BM","nodes",363
"6","DB_BM","LB",5
"6","DB_BM","first",65
"6","DB_BM","best",107
"6","DB_HR","sol",6
"6","DB_HR","time",155.862007895485
"6","DB_HR","cpu",3.46099999999999
"6","DB_HR","nodes",363
"6","DB_HR","LB",5
"6","DB_HR","first",65
"6","DB_HR","best",107
"7","BM","sol",11
"7","BM","time",0.267999828793108
"7","BM","cpu",0.066
"7","BM","nodes",14
"7","BM","LB",11
"7","HR","sol",11
"7","HR","time",1.39500035438687
"7","HR","cpu",0.24
"7","HR","nodes",21
"7","HR","LB",11
"7","DB_BM","sol",11
"7","DB_BM","time",126.504999306053
"7","DB_BM","cpu",2.20099999999999
"7","DB_BM","nodes",327
"7","DB_BM","LB",9
"7","DB_BM","first",65
