"iter","algo","resu","Val"
"1","BM","sol",440
"1","BM","time",0.0699999975040555
"1","BM","cpu",0.035
"1","BM","nodes",11
"1","BM","LB",440
"1","HR","sol",440
"1","HR","time",0.166000030003488
"1","HR","cpu",0.096
"1","HR","nodes",94
"1","HR","LB",440
"1","DB_BM","sol",440
"1","DB_BM","time",158.538998127915
"1","DB_BM","cpu",9.34899999999988
"1","DB_BM","nodes",1162
"1","DB_BM","LB",420
"1","DB_BM","first",248
"1","DB_BM","best",1162
"1","DB_HR","sol",440
"1","DB_HR","time",176.212988840416
"1","DB_HR","cpu",17.4189999999999
"1","DB_HR","nodes",1159
"1","DB_HR","LB",440
"1","DB_HR","first",495
"1","DB_HR","best",1159
"2","BM","sol",527
"2","BM","time",0.109999906271696
"2","BM","cpu",0.032
"2","BM","LB",527
"2","HR","sol",527
"2","HR","time",0.267999828793108
"2","HR","cpu",0.101
"2","HR","nodes",73
"2","HR","LB",527
"2","DB_BM","sol",527
"2","DB_BM","time",105.241997307166
"2","DB_BM","cpu",6.14699999999998
"2","DB_BM","nodes",786
"2","DB_BM","LB",527
"2","DB_BM","first",459
"2","DB_BM","best",786
"2","DB_HR","sol",527
"2","DB_HR","time",154.997003031895
"2","DB_HR","cpu",15.6029999999999
"2","DB_HR","nodes",1082
"2","DB_HR","LB",527
"2","DB_HR","first",357
"2","DB_HR","best",1082
"3","BM","sol",477
"3","BM","time",0.134999770671129
"3","BM","cpu",0.016
"3","BM","LB",477
"3","HR","sol",477
"3","HR","time",0.0739994226023555
"3","HR","cpu",0.035
"3","HR","LB",477
"3","DB_BM","sol",477
"3","DB_BM","time",45.0689921155572
"3","DB_BM","cpu",2.725
"3","DB_BM","nodes",338
"3","DB_BM","LB",477
"3","DB_BM","first",322
"3","DB_BM","best",338
"3","DB_HR","sol",477
"3","DB_HR","time",49.2109971586615
"3","DB_HR","cpu",5.17699999999999
"3","DB_HR","nodes",339
"3","DB_HR","LB",477
"3","DB_HR","first",322
"3","DB_HR","best",339
"4","BM","sol",601
"4","BM","time",0.204000226221979
"4","BM","cpu",0.029
"4","BM","LB",601
"4","HR","sol",601
"4","HR","time",0.135999941267073
"4","HR","cpu",0.094
"4","HR","nodes",14
"4","HR","LB",601
"4","DB_BM","sol",601
"4","DB_BM","time",106.986998277716
"4","DB_BM","cpu",6.53199999999998
"4","DB_BM","nodes",807
"4","DB_BM","LB",601
"4","DB_BM","first",355
"4","DB_BM","best",807
"4","DB_HR","sol",601
"4","DB_HR","time",97.9419897543266
"4","DB_HR","cpu",10.1389999999999
"4","DB_HR","nodes",674
"4","DB_HR","LB",601
"4","DB_HR","first",323
"4","DB_HR","best",674
"5","BM","sol",554
"5","BM","time",0.0790002755820751
"5","BM","cpu",0.029
"5","BM","LB",554
"5","HR","sol",554
"5","HR","time",0.182000244967639
"5","HR","cpu",0.142
"5","HR","nodes",154
"5","HR","LB",554
"5","DB_BM","sol",554
"5","DB_BM","time",220.981994527392
"5","DB_BM","cpu",12.8379999999996
"5","DB_BM","nodes",1658
"5","DB_BM","LB",484
"5","DB_BM","first",545
"5","DB_BM","best",1658
"5","DB_HR","sol",554
"5","DB_HR","time",219.351004203781
"5","DB_HR","cpu",20.9550000000002
"5","DB_HR","nodes",1511
"5","DB_HR","LB",484
"5","DB_HR","first",485
"5","DB_HR","best",1451
"6","BM","sol",495
"6","BM","time",0.107000023126602
"6","BM","cpu",0.021
"6","BM","nodes",11
"6","BM","LB",495
"6","HR","sol",495
"6","HR","time",0.27300005313009
"6","HR","cpu",0.126
"6","HR","nodes",96
"6","HR","LB",495
"6","DB_BM","sol",495
"6","DB_BM","time",89.2000115476549
"6","DB_BM","cpu",5.19499999999999
"6","DB_BM","nodes",659
"6","DB_BM","LB",476
"6","DB_BM","first",442
"6","DB_BM","best",553
"6","DB_HR","sol",495
"6","DB_HR","time",88.9310027472675
"6","DB_HR","cpu",8.70399999999999
"6","DB_HR","nodes",586
"6","DB_HR","LB",476
"6","DB_HR","first",491
"6","DB_HR","best",491
"7","BM","sol",515.000000000213
"7","BM","time",0.0630000606179237
"7","BM","cpu",0.029
