"iter","algo","resu","Val"
"1","BM","sol",-558.277038546374
"1","BM","time",7.09100018721074
"1","BM","cpu",7.024
"1","BM","nodes",1652
"1","BM","LB",-558.81565470466
"1","HR","sol",-558.277038546374
"1","HR","time",1352.14399988763
"1","HR","cpu",1352.035
"1","HR","nodes",307
"1","HR","LB",-558.80803402882
"1","DB_BM","sol",10000000000
"1","DB_BM","time",7200.03799600527
"1","DB_BM","cpu",394.47499999997
"1","DB_BM","nodes",22263
"1","DB_BM","LB",-602.642661502199
"1","DB_HR","sol",10000000000
"1","DB_HR","time",7200.05398364738
"1","DB_HR","cpu",4412.25400000005
"1","DB_HR","nodes",12450
"1","DB_HR","LB",-600.107554867839
"2","BM","sol",-441.959279411679
"2","BM","time",22.0899997511879
"2","BM","cpu",22.026
"2","BM","nodes",3659
"2","BM","LB",-442.250172022056
"2","HR","sol",-441.959279411679
"2","HR","time",1626.07299964875
"2","HR","cpu",1625.957
"2","HR","nodes",947
"2","HR","LB",-442.140201953157
"2","DB_BM","sol",-42.649054123147
"2","DB_BM","time",7200.13498112094
"2","DB_BM","cpu",352.351000000004
"2","DB_BM","nodes",22654
"2","DB_BM","LB",-518.035241723084
"2","DB_BM","first",20402
"2","DB_BM","best",20402
"2","DB_HR","sol",10000000000
"2","DB_HR","time",7200.31606291886
"2","DB_HR","cpu",3105.94999999995
"2","DB_HR","nodes",18077
"2","DB_HR","LB",-482.345352382251
"3","BM","sol",-211.29268974768
"3","BM","time",18.7750000040978
"3","BM","cpu",18.591
"3","BM","nodes",3429
"3","BM","LB",-211.395052622241
"3","HR","sol",-211.29268974768
"3","HR","time",2751.37300011702
"3","HR","cpu",2751.111
"3","HR","nodes",1718
"3","HR","LB",-211.29268974768
"3","DB_BM","sol",-211.29268974768
"3","DB_BM","time",4231.90894906875
"3","DB_BM","cpu",217.575999999972
"3","DB_BM","nodes",14575
"3","DB_BM","LB",-211.29268974768
"3","DB_BM","first",14032
"3","DB_BM","best",14500
"3","DB_HR","sol",-211.29268974768
"3","DB_HR","time",4678.73703804798
"3","DB_HR","cpu",949.367000000013
"3","DB_HR","nodes",14575
"3","DB_HR","LB",-211.29268974768
"3","DB_HR","first",14032
"3","DB_HR","best",14500
"4","BM","sol",-301.431875879765
"4","BM","time",12.8999998094514
"4","BM","cpu",12.811
"4","BM","nodes",2338
"4","BM","LB",-301.431875879766
"4","HR","sol",-301.431875879765
"4","HR","time",2062.40700013004
"4","HR","cpu",2062.099
"4","HR","nodes",843
"4","HR","LB",-301.675613264296
"4","DB_BM","sol",-301.431875879766
"4","DB_BM","time",4609.30399771314
"4","DB_BM","cpu",252.98899999995
"4","DB_BM","nodes",21753
"4","DB_BM","LB",-304.673265744481
"4","DB_BM","first",20252
"4","DB_BM","best",21520
"4","DB_HR","sol",-301.431875879766
"4","DB_HR","time",6198.59093218111
"4","DB_HR","cpu",1556.41600000032
"4","DB_HR","nodes",21739
"4","DB_HR","LB",-304.673265744481
"4","DB_HR","first",20252
"4","DB_HR","best",21520
"5","BM","sol",-611.773218815439
"5","BM","time",22.7759998524562
"5","BM","cpu",22.652
"5","BM","nodes",5288
"5","BM","LB",-612.299725429814
"5","HR","sol",-611.773218815439
"5","HR","time",1997.26400014479
"5","HR","cpu",1997.083
"5","HR","nodes",506
"5","HR","LB",-612.083218715618
"5","DB_BM","sol",10000000000
"5","DB_BM","time",7200.37396154366
"5","DB_BM","cpu",304.147999999994
"5","DB_BM","nodes",18610
"5","DB_BM","LB",-695.142485752012
"5","DB_HR","sol",10000000000
"5","DB_HR","time",7200.33900712151
"5","DB_HR","cpu",6087.36800000003
"5","DB_HR","nodes",6611
"5","DB_HR","LB",-651.367300233246
"6","BM","sol",-191.127116325527
"6","BM","time",36.5619999356568
"6","BM","cpu",36.496
"6","BM","nodes",7721
"6","BM","LB",-191.316123265087
"6","HR","sol",-191.127116325527
"6","HR","time",8874.54100039322
"6","HR","cpu",8874.44
"6","HR","nodes",5830
"6","HR","LB",-191.127116325527
"6","DB_BM","sol",-191.127116325527
"6","DB_BM","time",4274.87494640518
"6","DB_BM","cpu",302.420999999995
"6","DB_BM","nodes",21024
"6","DB_BM","LB",-199.205687981099
"6","DB_BM","first",19161
"6","DB_BM","best",20845
"6","DB_HR","sol",-191.127116325527
"6","DB_HR","time",5049.84498540871
"6","DB_HR","cpu",1477.36899999998
"6","DB_HR","nodes",20940
"6","DB_HR","LB",-199.205687981099
"6","DB_HR","first",19161
"6","DB_HR","best",20761
"7","BM","sol",-314.231839149193
"7","BM","time",15.5799999833107
"7","BM","cpu",15.506
"7","BM","nodes",3535
"7","BM","LB",-314.544866700602
"7","HR","sol",-314.231839149194
"7","HR","time",3829.95999958366
"7","HR","cpu",3829.856
"7","HR","nodes",1901
"7","HR","LB",-314.41728679735
"7","DB_BM","sol",-167.475805103663
"7","DB_BM","time",7200.04996284842
"7","DB_BM","cpu",356.740000000044
"7","DB_BM","nodes",25853
"7","DB_BM","LB",-382.585721545425
"7","DB_BM","first",15180
"7","DB_BM","best",20334
"7","DB_HR","sol",10000000000
"7","DB_HR","time",7200.2430083463
"7","DB_HR","cpu",2749.05799999988
